name,address,phone,fax
"Transport USA, LLC","Transport USA, LLC 601 Carlson Pkwy Suite 400 Minnetonka, MN 55305 ATTN: ACCOUNTS PAYABLE",866-872-6872,952-807-7456
Transportation One,"Transportation One 747 N Lasalle Blvd Suite 200B Chicago, IL   60654 ATTN: ACCOUNTS PAYABLE",877-334-6966,312-284-4946
"Trek Freight Services, LLC","Trek Freight Services, LLC 7900 N. Nagle Ave. Morton Grove, IL 60053",866-266-9623,847-267-3144
Tri City Trading,"Tri City Trading 1580 NW 27th Ave. Suite 1 Pompano Beach, FL 33069",555-555-5555,555-555-5555
Trinity Logistics Inc.,"Trinity Logistics Inc. 317 Green Needles Road Lexington,NC 27295",800-222-8623,338-956-6300
"Trinity Transport, Inc.","Trinity Transport, Inc. P.O. BOX 1620 Seaford, DE 19973 ATTN: ACCOUNTS PAYABLE",800-846-3400,302-253-1036
"TTS, LLC.","TTS, LLC. 2595 Dallas Parkway   Suite 300 Frisco, TX   75034-8530 ATTN: ACCOUNTS PAYABLE",972-992-0950,214-774-9886
"Twin City Transportation, Inc.","Twin City Transportation, Inc. P.O.BOX 190118 Little Rock, AR  72219 ATTN: ACCOUNTS PAYABLE",888-565-6297,501-568-5128
"Twin Modal, Inc.","Twin Modal, Inc. P.O.Box 3780 Olathe, KS 66063 ATTN: ACCOUNTS PAYABLE",866-314-9968,913-495-1314
Unishippers,"UNISHIPPERS Central Billing 2101 S Waverly Ave SUITE 200 Melbourne, FL 32901 ATTN: ACCOUNTS PAYABLE",800-713-2111,321-821-0272
Unisource Logistics Solutions,"Unisource Logistics Solutions 3091 Governors Lake Drive Suite 350 Norcross Atlanta, GA 30071",888-666-5901,770-659-4893
"Universal AM-CAN, LTD.","Universal AM-CAN, LTD. P.O.BOX 2007 Warren, MI  48090 ATTN: BROKERAGE",904-786-0805,904-786-0261
"Universal Bach Transportation Svcs, Inc.","Universal Bach Transportation Svcs, Inc. 460 Smith St Suite F Middletown, CT 06457 ATTN: ACCOUNTS PAYABLE",860-635-8287,860-613-0898
"Universal Freight Systems, Inc.","Universal Freight Systems, Inc. 5336 Stadium Trace Pkwy Suite 110 Hoover, AL 35244 ATTN: ACCOUNTS PAYABLE",877-686-8505,205-682-8508
Universal Logistics Services,"Universal Logistics Services 120 Summit Parkway Ste 110 Birmingham, AL 35209 ATTN: ACCOUNTS PAYABLE",877-686-8505,555-555-5555
US Logistics ap@uslfreight.com,US Logistics P.O. BOX 53009 CINCINNATI OH 45253,(330) 879-1189,(330) 879-1209
"US Logistics, Inc.","US Logistics, Inc. 350 Benigno Blvd. Bellmawr NJ 08031 ATTN: ACCOUNTS PAYABLE",856-931-5500,555-555-5555
US Xpress Logistics,"US Xpress Logistics PO Box 24928 Chattanooga, TN 37422",423-510-6583,555-555-5555
USA Truck Brokers,"USA TRUCK AR PO BOX 1326 VAN BUREN, AR  72957",305-512-0040,305-822-3554
USA TRUCK AR,"USA TRUCK AR PO BOX 1326 VAN BUREN, AR  72957",555-555-5555,555-555-5555
UTI Transport Solutions,"UTI Transport Solutions P.O. BOX 1147 Medford, OR 97501 ATTN: ACCOUNTS PAYABLE",832-332-9897,281-516-7709
Vector Transport,"Vector Transport PO BOX 3292 Tupelo, MS 38803 ATTN: ACCOUNTS PAYABLE",800-272-5897,662-841-1472
"VHI Transport, Inc","VHI Transport, Inc 4525 Lee St. Chester,VA 23831",800-807-7317,804-414-1798
Victory Transport Company,"Victory Transport Company 921 Hall Road Thomasville, GA 31757",229-413-2349,229-226-3671
Visual Pak Logistics,"Visual Pak Logistics 1817 WAUKEGAN RD WAUKEGAN, IL 60085",847-775-4785,847-473-1994
Vitran,"Vitran 12465 Lewis St, Suite 102 Garden Grove, CA 92840",(714) 748 4042,(714) 748 4047
Werner Value Added Service,"Werner Value Added Service PO BOX 45916 Omaha, NE 68145",877-567-7723,360-892-3778
West Motor  Freight of PA,"West Motor  Freight of PA PO BOX 587 Boyertown, PA  19512 ATTN: ACCOUNTS PAYABLE",610-367-2611,610-369-9128
Western Logistics Express,"Western Logistics Express PO BOX 681127 Riverside, MO 64168-0127",877-302-5584,816-746-4610
Western Logistics Inc.,"Western Logistics Inc. PO BOX 280958 Nashville,TN 37228",615-744-3700,555-555-5555
"WJW Associates, LTD","WJW Associates, LTD PO BOX 156 Syracuse,NY 13206",315-432-9282,315-432-5603
"World Logistics USA, LLC","World Logistics USA, LLC 173 Route 526 Allentown, NJ 08501 ATTN: ACCOUNTS PAYABLE",609-259-6102,609-259-6103
WTG Logistics Inc.,"WTG Logistics Inc. 140 Eooing RD PO BOX D Exeter,NH 03833",866-997-6340,603-773-0002
XCELERATED TRANSPORT,"XCELERATED TRANSPORT 115 Val Dervin Pkwy Stockton, CA 95206 ATTN: ACCOUNTS PAYABLE",866-537-7100,209-824-2516
XPO Logistics,"XPO Logistics PO BOX 9349 Louisville,KY 40209",855-744-7976,303-397-7679
"Younkin & Sons Logistics, Inc.","Younkin & Sons Logistics, Inc. PO Box 325 Ashland, OH 44805",419-289-3378,419-289-1536
YourFreightRate,"YourFreightRate P.O.Box 2290 5849 Production Way Valdosta, GA 31604 ATTN: ACCOUNTS PAYABLE",229-249-9026,229-247-8553
"Yusen Logistics Americas, Inc.-D","Yusen Logistics Americas, Inc.-D PO BOX 3477 Cordova, TN 38088 ATTN: ACCOUNTS PAYABLE",972-244-2471,901-260-8812
Expert,555 sole lane,555-555-5555,555-555-5555
